run_id,elapsed_s,kalman_enabled,side,samples,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips
20260517_223701,5.008,0,Left,57,71.929825,0.000000,0.005165,0.007028,0.017179,0
20260517_223701,5.008,0,Right,56,71.428571,0.000000,0.025235,0.009325,0.043451,2
20260517_223701,10.010,0,Left,121,86.776860,0.000000,0.003988,0.047491,0.015172,5
20260517_223701,10.010,0,Right,118,86.440678,0.000000,0.014705,0.020330,0.029011,4
20260517_223701,15.011,0,Left,173,90.751445,0.000000,0.007172,0.048003,0.021188,9
20260517_223701,15.011,0,Right,170,90.588235,0.000000,0.017377,0.025395,0.032344,6
20260517_223701,20.023,0,Left,220,92.727273,0.000000,0.007410,0.052893,0.023847,12
20260517_223701,20.023,0,Right,217,92.626728,0.000000,0.022933,0.033147,0.033372,9
20260517_223701,25.026,0,Left,267,94.007491,0.000000,0.012734,0.055864,0.032716,16
20260517_223701,25.026,0,Right,264,93.939394,0.000000,0.024955,0.038141,0.033913,12
20260517_223701,30.027,0,Left,315,94.920635,0.000000,0.013050,0.050693,0.034864,21
20260517_223701,30.027,0,Right,312,94.871795,0.000000,0.025644,0.040873,0.033067,17
20260517_223701,35.032,0,Left,363,95.592287,0.000000,0.016203,0.050845,0.038755,24
20260517_223701,35.032,0,Right,360,95.555556,0.000000,0.025571,0.040786,0.032216,19
20260517_223701,40.036,0,Left,416,96.153846,0.000000,0.014897,0.051390,0.036695,34
20260517_223701,40.036,0,Right,411,96.107056,0.000000,0.028427,0.042937,0.036651,22
20260517_223701,45.041,0,Left,464,96.551724,0.000000,0.017305,0.049896,0.041285,39
20260517_223701,45.041,0,Right,459,96.514161,0.000000,0.030125,0.044988,0.039656,29
20260517_223701,50.045,0,Left,514,96.887160,0.000000,0.018655,0.050940,0.044062,45
20260517_223701,50.045,0,Right,509,96.856582,0.000000,0.029451,0.044958,0.039379,33
20260517_223701,55.053,0,Left,557,97.127469,0.000000,0.017954,0.049016,0.042306,48
20260517_223701,55.053,0,Right,552,97.101449,0.000000,0.034075,0.046284,0.050352,37
20260517_223701,60.056,0,Left,603,97.346600,0.000000,0.017062,0.050710,0.040867,53
20260517_223701,60.056,0,Right,598,97.324415,0.000000,0.034927,0.046029,0.050999,40
