run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260520_114305,5.011,1,Left,47,68.085106,68.085106,68.085106,0.000000,0.004006,0.020594,0.025343,1,0.000000,0.000000,0.094142,0.795914,85.031382,54.259245,0.169156,0,451.97
20260520_114305,5.011,1,Right,47,68.085106,85.106383,68.085106,0.000000,0.045267,0.022352,0.069154,1,0.000000,0.000000,0.614730,0.732408,86.093610,45.254442,0.280184,0,451.97
20260520_114305,10.015,1,Left,93,83.870968,83.870968,83.870968,0.000000,0.006327,0.025843,0.033377,4,0.000000,0.000000,0.162474,0.805160,108.344029,54.259245,0.146747,0,445.11
20260520_114305,10.015,1,Right,93,83.870968,92.473118,83.870968,0.000000,0.033981,0.040400,0.060266,3,0.000000,0.000000,0.614730,0.890171,117.694181,45.254442,0.195380,0,445.11
20260520_114305,15.017,1,Left,139,89.208633,89.208633,89.208633,0.000000,0.006395,0.033832,0.035099,5,0.000000,0.000000,0.162474,0.844419,110.996818,54.259245,0.130135,0,460.20
20260520_114305,15.017,1,Right,138,89.130435,94.927536,89.130435,0.000000,0.037529,0.047979,0.070396,6,0.000000,0.000000,0.614730,0.950000,121.601127,45.254442,0.180540,0,460.20
20260520_114305,20.029,1,Left,187,91.978610,91.978610,91.978610,0.000000,0.006747,0.033660,0.034347,8,0.000000,0.000000,0.186325,0.844419,117.731475,54.259245,0.140219,0,387.89
20260520_114305,20.029,1,Right,186,91.935484,96.236559,91.935484,0.000000,0.031731,0.044316,0.068736,9,0.000000,0.000000,0.614730,0.950000,126.018904,45.254442,0.164435,0,387.89
20260520_114305,25.037,1,Left,237,93.670886,93.670886,93.670886,0.000000,0.008463,0.035816,0.039920,10,0.000000,0.000000,0.204368,0.844419,118.549939,54.259245,0.139026,0,462.13
20260520_114305,25.037,1,Right,236,93.644068,97.033898,93.644068,0.000000,0.027527,0.045464,0.067702,11,0.000000,0.000000,0.614730,0.950000,127.804810,45.254442,0.152653,0,462.13
20260520_114305,30.041,1,Left,283,94.699647,94.699647,94.699647,0.000000,0.022492,0.041865,0.064563,15,0.000000,0.000000,0.843149,0.915595,118.662083,47.038485,0.151536,0,431.96
20260520_114305,30.041,1,Right,282,94.680851,97.517730,94.680851,0.000000,0.024116,0.047330,0.062109,14,0.000000,0.000000,0.614730,0.950000,128.938105,45.254442,0.144235,0,431.96
20260520_114305,35.051,1,Left,331,95.468278,95.468278,95.468278,0.000000,0.026556,0.038752,0.071320,18,0.000000,0.000000,0.843149,0.915595,120.227530,47.038485,0.157441,0,454.22
20260520_114305,35.051,1,Right,329,95.440729,97.872340,95.440729,0.000000,0.023568,0.045725,0.061368,17,0.000000,0.000000,0.614730,0.950000,131.072382,45.254442,0.144805,0,454.22
20260520_114305,40.061,1,Left,379,96.042216,96.042216,96.042216,0.000000,0.026365,0.040763,0.075272,21,0.000000,0.000000,0.843149,0.915595,121.693031,47.038485,0.157875,0,448.21
20260520_114305,40.061,1,Right,377,96.021220,98.143236,96.021220,0.000000,0.021656,0.044872,0.060872,19,0.000000,0.000000,0.614730,0.950000,132.138454,45.254442,0.142332,0,448.21
20260520_114305,45.069,1,Left,425,96.470588,96.470588,96.470588,0.000000,0.027682,0.043715,0.074278,24,0.000000,0.000000,0.843149,0.915595,121.828866,47.038485,0.153954,0,245.97
20260520_114305,45.069,1,Right,423,96.453901,98.345154,96.453901,0.000000,0.020879,0.047495,0.060227,22,0.000000,0.000000,0.614730,0.950000,131.799390,45.254442,0.137795,0,245.97
20260520_114305,50.080,1,Left,472,96.822034,96.822034,96.822034,0.000000,0.031803,0.043633,0.079743,28,0.000000,0.000000,0.843149,0.950000,122.889885,46.478462,0.160417,0,460.71
20260520_114305,50.080,1,Right,470,96.808511,98.510638,96.808511,0.000000,0.019723,0.047026,0.058876,25,0.000000,0.000000,0.614730,0.950000,133.530599,45.254442,0.138754,0,460.71
20260520_114305,55.085,1,Left,520,97.115385,97.115385,97.115385,0.000000,0.031431,0.045611,0.078035,30,0.000000,0.000000,0.843149,0.950000,122.729842,46.478462,0.157699,0,212.29
20260520_114305,55.085,1,Right,518,97.104247,98.648649,97.104247,0.000000,0.018883,0.047820,0.058813,28,0.000000,0.000000,0.614730,0.950000,133.317855,45.254442,0.135787,0,212.29
20260520_114305,60.092,1,Left,568,97.359155,97.359155,97.359155,0.000000,0.029541,0.044804,0.075970,32,0.000000,0.000000,0.843149,0.950000,123.812120,46.478462,0.156631,0,399.76
20260520_114305,60.092,1,Right,566,97.349823,98.763251,97.349823,0.000000,0.018450,0.048225,0.059016,30,0.000000,0.000000,0.614730,0.950000,133.782548,45.254442,0.134827,0,399.76
20260520_114305,65.097,1,Left,617,97.568882,97.568882,97.568882,0.000000,0.030543,0.043985,0.076158,37,0.000000,0.000000,0.843149,0.950000,124.874555,46.478462,0.157739,0,454.27
20260520_114305,65.097,1,Right,615,97.560976,98.861789,97.560976,0.000000,0.017663,0.047691,0.058731,33,0.000000,0.000000,0.614730,0.950000,134.550181,45.254442,0.135496,0,454.27
20260520_114305,70.110,1,Left,666,97.747748,97.747748,97.747748,0.000000,0.028946,0.042955,0.073048,39,0.000000,0.000000,0.843149,0.950000,125.137136,46.478462,0.157320,0,256.96
20260520_114305,70.110,1,Right,664,97.740964,98.945783,97.740964,0.000000,0.017314,0.047892,0.058837,35,0.000000,0.000000,0.614730,0.950000,135.015621,45.254442,0.134320,0,256.96
20260520_114305,75.113,1,Left,717,97.907950,97.907950,97.907950,0.000000,0.029524,0.043648,0.073317,42,0.000000,0.000000,0.843149,0.950000,125.545073,46.478462,0.157574,0,255.22
20260520_114305,75.113,1,Right,714,97.899160,99.019608,97.899160,0.000000,0.018978,0.047364,0.061616,40,0.000000,0.000000,0.614730,0.950000,134.073359,45.254442,0.135712,0,255.22
20260520_114305,80.124,1,Left,764,98.036649,98.036649,98.036649,0.000000,0.029124,0.043908,0.073320,44,0.000000,0.000000,0.843149,0.950000,125.638574,46.478462,0.157123,0,463.20
20260520_114305,80.124,1,Right,761,98.028909,99.080158,98.028909,0.000000,0.019674,0.048033,0.063124,42,0.000000,0.000000,0.614730,0.950000,134.686010,45.254442,0.137290,0,463.20
20260520_114305,85.126,1,Left,812,98.152709,98.152709,98.152709,0.000000,0.027403,0.043041,0.070638,47,0.000000,0.000000,0.843149,0.950000,125.759017,46.478462,0.154197,0,455.46
20260520_114305,85.126,1,Right,809,98.145859,99.134734,98.145859,0.000000,0.019279,0.048530,0.062322,45,0.000000,0.000000,0.614730,0.950000,134.996191,45.254442,0.136773,0,455.46
