run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,mean_formation_error,near_miss_count,fps
20260531_172005,5.007,0,Left,41,65.853659,65.853659,65.853659,0.000000,0.000000,0.034792,0.014338,1,0.000000,0.000000,0.000000,0.717523,0.000000,0.000000,0.000000,0.000000,0.220746,0.000000,0.717523,0.220746,69.411146,54.346165,0.074146,0,261.18
20260531_172005,5.007,0,Right,40,67.500000,87.500000,67.500000,0.000000,0.013978,0.008756,0.015442,2,0.000000,0.000000,0.242188,0.200178,0.016062,0.000000,0.242188,0.016062,0.047829,0.000000,0.200178,0.047829,98.947433,60.627343,0.273898,0,261.18
20260531_172005,10.014,0,Left,88,84.090909,84.090909,84.090909,0.000000,0.003380,0.026190,0.018112,4,0.000000,0.000000,0.149326,0.792719,0.010893,-0.072523,0.149326,0.024957,0.420718,0.000000,0.792719,0.420718,81.405824,51.253754,0.126716,0,241.98
20260531_172005,10.014,0,Right,87,85.057471,94.252874,85.057471,0.000000,0.009493,0.031697,0.016235,4,0.000000,0.000000,0.242188,0.900000,0.002293,-0.088665,0.242188,0.020876,0.369486,0.000000,0.900000,0.369486,159.160421,60.627343,0.178149,0,241.98
20260531_172005,15.021,0,Left,138,89.855072,89.855072,89.855072,0.000000,0.003215,0.017602,0.012101,5,0.000000,0.000000,0.149326,0.813040,0.013731,-0.072523,0.149326,0.022699,0.554420,0.000000,0.813040,0.554420,90.342177,51.253754,0.145631,0,454.82
20260531_172005,15.021,0,Right,137,90.510949,96.350365,90.510949,0.000000,0.007324,0.032422,0.013299,7,0.000000,0.000000,0.242188,0.900000,0.018554,-0.088665,0.242188,0.030355,0.494174,0.000000,0.900000,0.494174,175.631177,60.627343,0.164884,0,454.82
20260531_172005,20.029,0,Left,188,92.553191,92.553191,92.553191,0.000000,0.003561,0.013469,0.011177,7,0.000000,0.000000,0.149326,0.816334,0.018824,-0.072523,0.149326,0.025407,0.615530,0.000000,0.816334,0.615530,93.549600,51.253754,0.154309,0,466.34
20260531_172005,20.029,0,Right,187,93.048128,97.326203,93.048128,0.000000,0.005366,0.031219,0.012801,8,0.000000,0.000000,0.242188,0.900000,0.013593,-0.088665,0.242188,0.022239,0.553885,0.000000,0.900000,0.553885,180.732485,60.627343,0.148757,0,466.34
20260531_172005,25.035,0,Left,236,94.067797,94.067797,94.067797,0.000000,0.003686,0.011196,0.010385,9,0.000000,0.000000,0.149326,0.816334,0.019403,-0.072523,0.149326,0.024647,0.649071,0.000000,0.816334,0.649071,94.765625,51.253754,0.157998,0,459.55
20260531_172005,25.035,0,Right,235,94.468085,97.872340,94.468085,0.000000,0.005082,0.031946,0.012150,11,0.000000,0.000000,0.242188,0.900000,0.020791,-0.088665,0.242188,0.027671,0.586841,0.000000,0.900000,0.586841,181.978504,60.627343,0.145223,0,459.55
20260531_172005,30.036,0,Left,286,95.104895,95.104895,95.104895,0.000000,0.003722,0.009677,0.009789,11,0.000000,0.000000,0.149326,0.816334,0.020227,-0.072523,0.149326,0.024554,0.672729,0.000000,0.816334,0.672729,95.670711,51.253754,0.161073,0,259.36
20260531_172005,30.036,0,Right,284,95.422535,98.239437,95.422535,0.000000,0.004393,0.036301,0.011511,12,0.000000,0.000000,0.242188,0.900000,0.017579,-0.088665,0.242188,0.023272,0.616618,0.000000,0.900000,0.616618,182.645525,60.627343,0.136326,0,259.36
20260531_172005,35.044,0,Left,333,95.795796,95.795796,95.795796,0.000000,0.004037,0.008637,0.009412,13,0.000000,0.000000,0.149326,0.816334,0.020893,-0.072523,0.149326,0.024610,0.687046,0.000000,0.816334,0.687046,95.718300,51.253754,0.161657,0,454.86
20260531_172005,35.044,0,Right,331,96.072508,98.489426,96.072508,0.000000,0.004318,0.039257,0.011261,14,0.000000,0.000000,0.242188,0.900000,0.020520,-0.088665,0.242188,0.025404,0.626213,0.000000,0.900000,0.626213,181.844412,60.627343,0.132850,0,454.86
20260531_172005,40.050,0,Left,380,96.315789,96.315789,96.315789,0.000000,0.004092,0.007816,0.009234,15,0.000000,0.000000,0.149326,0.816334,0.022288,-0.072523,0.149326,0.025545,0.698363,0.000000,0.816334,0.698363,96.022893,51.253754,0.162749,0,257.59
20260531_172005,40.050,0,Right,378,96.560847,98.677249,96.560847,0.000000,0.004061,0.040983,0.010860,16,0.000000,0.000000,0.242188,0.900000,0.020703,-0.088665,0.242188,0.024980,0.645657,0.000000,0.900000,0.645657,184.166985,60.627343,0.132594,0,257.59
20260531_172005,45.053,0,Left,431,96.751740,96.751740,96.751740,0.000000,0.004071,0.007143,0.008868,18,0.000000,0.000000,0.149326,0.816334,0.023069,-0.072523,0.149326,0.025941,0.707341,0.000000,0.816334,0.707341,96.021327,51.253754,0.162902,0,454.08
20260531_172005,45.053,0,Right,428,96.962617,98.831776,96.962617,0.000000,0.003965,0.040059,0.010973,19,0.000000,0.000000,0.242188,0.900000,0.023377,-0.088665,0.242188,0.027155,0.658184,0.000000,0.900000,0.658184,185.016246,60.627343,0.133009,0,454.08
20260531_172005,50.053,0,Left,480,97.083333,97.083333,97.083333,0.000000,0.004248,0.006633,0.008637,20,0.000000,0.000000,0.149326,0.816334,0.023006,-0.072523,0.149326,0.025584,0.714894,0.000000,0.816334,0.714894,96.281619,51.253754,0.163781,0,282.71
20260531_172005,50.053,0,Right,477,97.274633,98.951782,97.274633,0.000000,0.003684,0.039008,0.010894,22,0.000000,0.000000,0.242188,0.900000,0.022498,-0.088665,0.242188,0.025888,0.670686,0.000000,0.900000,0.670686,185.894706,60.627343,0.131514,0,282.71
20260531_172005,55.058,0,Left,528,97.348485,97.348485,97.348485,0.000000,0.004220,0.006236,0.008506,23,0.000000,0.000000,0.149326,0.816334,0.022786,-0.072523,0.149326,0.025130,0.720480,0.000000,0.816334,0.720480,96.423236,51.253754,0.164134,0,444.03
20260531_172005,55.058,0,Right,525,97.523810,99.047619,97.523810,0.000000,0.003567,0.038344,0.010650,25,0.000000,0.000000,0.242188,0.900000,0.023391,-0.088665,0.242188,0.026471,0.676298,0.000000,0.900000,0.676298,187.814100,60.627343,0.132441,0,444.03
20260531_172005,60.066,0,Left,578,97.577855,97.577855,97.577855,0.000000,0.004192,0.005900,0.008431,25,0.000000,0.000000,0.149326,0.816334,0.022566,-0.072523,0.149326,0.024707,0.725751,0.000000,0.816334,0.725751,96.531023,51.253754,0.164542,0,451.88
20260531_172005,60.066,0,Right,574,97.735192,99.128920,97.735192,0.000000,0.003485,0.037690,0.010728,27,0.000000,0.000000,0.242188,0.900000,0.023972,-0.088665,0.242188,0.026789,0.681815,0.000000,0.900000,0.681815,188.287668,60.627343,0.131909,0,451.88
20260531_172005,65.072,0,Left,628,97.770701,97.770701,97.770701,0.000000,0.004322,0.005606,0.008403,27,0.000000,0.000000,0.149326,0.816334,0.023268,-0.072523,0.149326,0.025238,0.729995,0.000000,0.816334,0.729995,96.642162,51.253754,0.165124,0,264.57
20260531_172005,65.072,0,Right,624,97.916667,99.198718,97.916667,0.000000,0.003721,0.036862,0.010732,29,0.000000,0.000000,0.242188,0.900000,0.024336,-0.088665,0.242188,0.026927,0.686329,0.000000,0.900000,0.686329,189.545199,60.627343,0.132895,0,264.57
20260531_172005,70.078,0,Left,678,97.935103,97.935103,97.935103,0.000000,0.004445,0.005358,0.008257,30,0.000000,0.000000,0.149326,0.816334,0.024185,-0.072523,0.149326,0.026011,0.733423,0.000000,0.816334,0.733423,96.580889,51.253754,0.165285,0,258.00
