run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,fps
20260607_165015,5.009,1,Left,36,52.777778,52.777778,52.777778,0.000000,0.000000,0.000000,0.013717,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.187838,47.589015,19.728829,0.168203,0,237.52
20260607_165015,5.009,1,Right,36,52.777778,77.777778,52.777778,0.000000,0.000000,0.000000,0.009958,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.869813,52.867475,93.801904,0.654959,0,237.52
20260607_165015,10.010,1,Left,86,80.232558,80.232558,80.232558,0.000000,0.003398,0.009156,0.016417,2,0.000000,0.000000,0.099879,0.767119,-0.001164,-0.099879,0.090556,0.024755,0.330452,0.000000,0.767119,0.330452,85.685920,47.589015,24.699487,0.146733,0,246.96
20260607_165015,10.010,1,Right,84,79.761905,90.476190,79.761905,0.000000,0.002394,0.010753,0.014800,1,0.000000,0.000000,0.096802,0.857986,0.018424,0.000000,0.096802,0.018424,0.220141,0.000000,0.857986,0.220141,158.921826,52.867475,95.698297,0.368924,0,246.96
20260607_165015,15.018,1,Left,136,87.500000,87.500000,87.500000,0.000000,0.003310,0.006548,0.012302,4,0.000000,0.000000,0.099879,0.806012,0.012451,-0.099879,0.090556,0.028841,0.501237,0.000000,0.806012,0.501237,108.322681,47.589015,42.323545,0.184815,0,405.13
20260607_165015,15.018,1,Right,134,87.313433,94.029851,87.313433,0.000000,0.003172,0.007861,0.014236,2,0.000000,0.000000,0.112002,0.857986,0.000889,-0.112002,0.096802,0.022210,0.450801,0.000000,0.857986,0.450801,231.762570,52.867475,129.458619,0.312710,0,405.13
20260607_165015,20.025,1,Left,184,90.760870,90.760870,90.760870,0.000000,0.003322,0.005301,0.010028,7,0.000000,0.000000,0.099879,0.806012,0.013561,-0.099879,0.090556,0.025675,0.577684,0.000000,0.806012,0.577684,117.367640,47.589015,49.380232,0.199124,0,453.63
20260607_165015,20.025,1,Right,182,90.659341,94.505495,90.659341,0.000000,0.004128,0.013550,0.013718,4,0.000000,0.000000,0.128286,0.857986,0.015272,-0.112002,0.128286,0.030970,0.505496,0.000000,0.857986,0.505496,223.778655,52.867475,106.240445,0.265303,0,453.63
20260607_165015,25.033,1,Left,233,92.703863,92.703863,92.703863,0.000000,0.003401,0.004600,0.008858,10,0.000000,0.000000,0.099879,0.806012,0.017868,-0.099879,0.090556,0.027435,0.622271,0.000000,0.806012,0.622271,121.693998,47.589015,52.588379,0.206783,0,241.15
20260607_165015,25.033,1,Right,229,92.576419,95.633188,92.576419,0.000000,0.003645,0.011479,0.012674,5,0.000000,0.000000,0.128286,0.857986,0.015090,-0.112002,0.128286,0.027567,0.563891,0.000000,0.857986,0.563891,229.244130,52.867475,103.473492,0.244749,0,241.15
20260607_165015,30.040,1,Left,284,94.014085,94.014085,94.014085,0.000000,0.003558,0.004107,0.008015,13,0.000000,0.000000,0.099879,0.806012,0.018691,-0.099879,0.090556,0.026539,0.652708,0.000000,0.806012,0.652708,124.974608,47.589015,55.141036,0.212142,0,453.54
20260607_165015,30.040,1,Right,279,93.906810,94.982079,93.906810,0.000000,0.003516,0.014649,0.012219,6,0.000000,0.000000,0.146206,0.857986,0.017598,-0.112002,0.146206,0.027839,0.572794,0.000000,0.857986,0.572794,223.690023,52.867475,92.403911,0.220485,0,453.54
