run_id,elapsed_s,kalman_enabled,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,steer_cmd_mean,steer_cmd_min,steer_cmd_max,steer_cmd_mean_abs,throttle_cmd_mean,throttle_cmd_min,throttle_cmd_max,throttle_cmd_mean_abs,speed_mps,leader_speed_mps,x_m,z_m,leader_x_m,leader_z_m,formation_size_mean_side_m,formation_size_mean_leader_to_followers_m,pos_error_m,mean_distance,min_distance,distance_error_mean,mean_formation_error,near_miss_count,formation_iou,formation_area_err,centroid_offset_m,per_boat_rms_m,fps
20260625_211546,5.013,0,Left,38,100.000000,0.000000,100.000000,0.000000,0.008162,0.019931,0.008364,2,0.000000,0.000000,0.114291,0.939897,0.035583,-0.040794,0.114291,0.052331,0.869955,0.360000,0.939897,0.869955,15.994383,13.319272,12.027620,-210.356125,-0.144037,-223.026978,17.743749,15.844373,13.103867,109.694308,57.526712,78.692324,0.307588,0,0.180421,266.165926,9.517027,12.262328,204.24
20260625_211546,5.013,0,Right,37,100.000000,0.000000,100.000000,0.000000,0.012138,0.023831,0.014466,2,0.000000,0.000000,0.176002,0.931939,-0.057289,-0.176002,0.031540,0.073428,0.785928,0.360000,0.931939,0.785928,16.457535,13.461261,-9.419391,-212.382217,-0.144037,-223.026978,17.743749,15.844373,16.714746,89.837996,34.454938,53.703447,0.245712,0,0.180421,266.165926,9.517027,12.262328,204.24
20260625_211546,10.027,0,Left,84,100.000000,0.000000,100.000000,0.000000,0.010074,0.025306,0.010282,3,0.000000,0.000000,0.240585,0.949936,0.011511,-0.138773,0.240585,0.083969,0.816525,0.250048,0.949936,0.816525,16.860950,15.489260,2.682600,-297.185333,-17.036461,-311.189209,41.036922,37.338023,6.623693,79.785174,25.588147,49.447157,0.257096,7,0.578387,188.181760,5.578484,12.552839,305.48
20260625_211546,10.027,0,Right,79,100.000000,0.000000,100.000000,0.000000,0.023227,0.035657,0.027088,5,0.000000,0.000000,0.517899,0.949519,0.015938,-0.355353,0.517899,0.152804,0.688250,0.001023,0.949519,0.688250,14.756885,15.492534,-31.419281,-262.790802,-17.036461,-311.189209,41.036922,37.338023,20.708645,93.805756,15.669234,62.746492,0.331542,11,0.578387,188.181760,5.578484,12.552839,305.48
20260625_211546,15.036,0,Left,127,100.000000,0.000000,100.000000,0.000000,0.010139,0.018237,0.009485,5,0.000000,0.000000,0.242852,0.949936,0.013180,-0.138773,0.242852,0.089403,0.846500,0.250048,0.949936,0.846500,17.945689,16.096482,-43.875725,-384.165100,-55.988033,-393.646606,24.885670,24.194367,15.129184,83.356107,25.588147,52.793282,0.278783,7,0.450562,191.824402,5.115121,8.920698,243.78
20260625_211546,15.036,0,Right,122,100.000000,0.000000,100.000000,0.000000,0.020960,0.024279,0.023847,8,0.000000,0.000000,0.517899,0.949978,0.016197,-0.389610,0.517899,0.124229,0.769239,0.001023,0.949978,0.769239,16.632913,16.123492,-55.568172,-360.642578,-55.988033,-393.646606,24.885670,24.194367,3.137572,156.820050,15.669234,123.870672,0.358402,11,0.450562,191.824402,5.115121,8.920698,243.78
20260625_211546,20.040,0,Left,167,100.000000,0.000000,100.000000,0.000000,0.011643,0.015769,0.010227,6,0.000000,0.000000,0.242852,0.949936,0.024221,-0.152350,0.242852,0.091801,0.834120,0.250048,0.949936,0.834120,18.267415,16.380794,-101.522186,-458.167480,-113.617302,-462.932648,16.751416,16.287900,17.235555,73.486326,25.588147,42.838962,0.251531,8,0.200684,277.461254,8.705999,11.889957,262.05
20260625_211546,20.040,0,Right,161,100.000000,0.000000,100.000000,0.000000,0.016589,0.018715,0.018839,10,0.000000,0.000000,0.517899,0.949978,0.016754,-0.389610,0.517899,0.102209,0.799253,0.001023,0.949978,0.799253,17.462713,16.404504,-111.370377,-443.486176,-113.617302,-462.932648,16.751416,16.287900,11.271595,146.310297,15.669234,112.519746,0.341107,11,0.200684,277.461254,8.705999,11.889957,262.05
20260625_211546,25.041,0,Left,209,100.000000,0.000000,100.000000,0.000000,0.012595,0.018294,0.011010,8,0.000000,0.000000,0.256415,0.949936,0.028003,-0.195354,0.256415,0.105563,0.825439,0.243958,0.949936,0.825439,18.086078,16.561964,-155.843155,-523.519043,-185.701447,-515.214417,29.341498,28.873622,7.733474,71.984457,24.551951,41.667391,0.260099,17,0.539363,21.162922,4.675395,5.880813,331.23
20260625_211546,25.041,0,Right,203,100.000000,0.000000,100.000000,0.000000,0.015413,0.021330,0.017637,11,0.000000,0.000000,0.517899,0.949978,0.030743,-0.389610,0.517899,0.099481,0.775863,0.001023,0.949978,0.775863,17.185326,16.586119,-167.521057,-495.584503,-185.701447,-515.214417,29.341498,28.873622,6.629124,126.994625,15.669234,93.315658,0.310788,17,0.539363,21.162922,4.675395,5.880813,331.23
20260625_211546,30.051,0,Left,254,100.000000,0.000000,100.000000,0.000000,0.011866,0.015341,0.010310,9,0.000000,0.000000,0.256415,0.949936,0.019914,-0.195354,0.256415,0.095681,0.838969,0.243958,0.949936,0.838969,18.436774,16.689592,-251.451355,-554.841431,-269.807251,-548.564453,19.216982,18.741178,10.698490,75.621436,24.551951,45.183027,0.265674,17,0.354993,230.751666,6.800262,9.253461,211.75
20260625_211546,30.051,0,Right,248,100.000000,0.000000,100.000000,0.000000,0.014437,0.017988,0.016406,12,0.000000,0.000000,0.517899,0.949978,0.015279,-0.389610,0.517899,0.099217,0.799071,0.001023,0.949978,0.799071,17.708321,16.712453,-257.272369,-535.531128,-269.807251,-548.564453,19.216982,18.741178,11.934067,121.309013,15.669234,87.132335,0.312009,17,0.354993,230.751666,6.800262,9.253461,211.75
20260625_211546,35.062,0,Left,294,100.000000,0.000000,100.000000,0.000000,0.011523,0.014146,0.010071,10,0.000000,0.000000,0.256415,0.949936,0.019790,-0.195354,0.256415,0.096661,0.833961,0.243958,0.949936,0.833961,18.557801,16.770686,-343.767487,-562.095032,-357.412048,-559.885559,29.312580,27.527847,17.700116,71.842782,24.551951,41.443954,0.256759,23,0.313667,189.212885,7.275025,12.233861,231.97
20260625_211546,35.062,0,Right,288,100.000000,0.000000,100.000000,0.347222,0.015664,0.021803,0.017867,14,0.000000,0.000000,0.517899,0.949978,0.022236,-0.389610,0.517899,0.110240,0.780627,0.001023,0.949978,0.780627,17.385460,16.792064,-323.850250,-535.931458,-357.412048,-559.885559,29.312580,27.527847,11.649377,113.564259,15.669234,79.736781,0.311144,25,0.313667,189.212885,7.275025,12.233861,231.97
20260625_211546,40.070,0,Left,343,100.000000,0.000000,100.000000,0.000000,0.011979,0.013091,0.010605,12,0.000000,0.000000,0.256625,0.949936,0.027724,-0.195354,0.256625,0.101758,0.833958,0.243958,0.949936,0.833958,18.574877,16.843917,-436.140076,-567.059509,-448.279724,-548.746887,24.046201,22.994729,9.756692,69.284888,24.551951,38.848628,0.254547,26,0.457342,143.152833,4.945786,6.665773,243.90
20260625_211546,40.070,0,Right,336,100.000000,0.000000,100.000000,0.297619,0.014110,0.018761,0.016271,14,0.000000,0.000000,0.517899,0.949978,0.020814,-0.389610,0.517899,0.103579,0.797730,0.001023,0.949978,0.797730,17.768034,16.862259,-424.847015,-543.474670,-448.279724,-548.746887,24.046201,22.994729,6.172889,120.231834,15.669234,86.033723,0.317941,25,0.457342,143.152833,4.945786,6.665773,243.90
