run_id,timestamp,elapsed_s,kalman_on_ratio,side,samples,leader_det_rate_pct,follower_det_rate_pct,det_rate_pct,stale_rate_pct,dsteer_mean_abs,dthr_mean_abs,pred_mae,pred_flips,steer_saturated_pct,throttle_saturated_pct,steer_max,throttle_max,mean_distance,mean_speed_mps,max_speed_mps,min_distance,distance_error_mean,mean_formation_error,mean_formation_iou,std_formation_iou,mean_per_boat_rms_m,std_per_boat_rms_m,mean_centroid_offset_m,std_centroid_offset_m,near_miss_count,fps
20260613_144222,2026-06-13T14:44:39,134.198,0.000000,Left,1401,100.000000,0.000000,100.000000,0.000000,0.016864,0.010420,0.018017,76,0.000000,0.000000,0.688070,0.914512,129.583093,18.595629,20.068363,39.137839,48.886802,0.197003,0.588538,0.108353,5.365147,1.703351,3.114367,1.464313,0,0.0
20260613_144222,2026-06-13T14:44:39,134.198,0.000000,Right,1388,100.000000,0.000000,100.000000,0.000000,0.011349,0.010727,0.014280,53,0.000000,0.000000,0.318837,0.944972,119.198694,17.552648,20.105846,26.778395,41.877123,0.215099,0.588538,0.108353,5.365147,1.703351,3.114367,1.464313,9,0.0
20260613_144703,2026-06-13T14:49:21,136.321,1.000000,Left,1395,100.000000,0.000000,100.000000,0.000000,0.010751,0.008098,0.020118,99,0.000000,0.000000,0.517489,0.911575,125.414766,18.547453,20.067003,38.541128,41.479377,0.168824,0.597393,0.094250,5.223675,1.655924,3.031684,1.272914,0,0.0
20260613_144703,2026-06-13T14:49:21,136.321,1.000000,Right,1371,100.000000,0.000000,100.000000,0.000000,0.009528,0.010727,0.015629,76,0.000000,0.000000,0.394743,0.941282,119.168047,17.496332,20.101748,24.938573,39.291305,0.195540,0.597393,0.094250,5.223675,1.655924,3.031684,1.272914,9,0.0
20260613_145451,2026-06-13T14:55:10,16.564,1.000000,Left,194,100.000000,0.000000,100.000000,0.000000,0.018654,0.011750,0.033384,25,0.000000,0.000000,0.571779,0.895041,107.146651,17.114939,20.017269,46.955862,30.055127,0.182929,0.620679,0.125277,4.420660,1.564003,2.237732,1.441481,0,0.0
20260613_145451,2026-06-13T14:55:10,16.564,1.000000,Right,192,100.000000,0.000000,100.000000,0.000000,0.007040,0.016588,0.011750,13,0.000000,0.000000,0.150845,0.897004,123.505821,15.978347,20.056465,54.862261,33.542167,0.165690,0.620679,0.125277,4.420660,1.564003,2.237732,1.441481,0,0.0
20260613_145527,2026-06-13T14:55:44,15.076,1.000000,Left,145,100.000000,0.000000,100.000000,0.000000,0.021183,0.009992,0.037351,21,0.000000,0.000000,0.438773,0.930466,83.095264,17.911650,20.090633,41.237717,38.680847,0.247844,0.472213,0.168029,6.719667,2.525925,3.813084,2.195535,0,0.0
20260613_145527,2026-06-13T14:55:44,15.076,1.000000,Right,144,100.000000,0.000000,100.000000,0.000000,0.011295,0.019364,0.018058,10,0.000000,0.000000,0.272113,0.912993,126.724320,16.170044,20.069370,36.391811,50.191855,0.226396,0.472213,0.168029,6.719667,2.525925,3.813084,2.195535,0,0.0
20260613_145554,2026-06-13T14:56:54,57.585,1.000000,Left,597,100.000000,0.000000,100.000000,0.000000,0.017666,0.007243,0.030306,62,0.000000,0.000000,0.620805,0.948608,97.430266,19.021586,20.105793,28.801009,50.865630,0.255369,0.519341,0.140979,6.928614,2.696669,3.842885,1.620307,2,0.0
20260613_145554,2026-06-13T14:56:54,57.585,1.000000,Right,586,100.000000,0.000000,100.000000,0.000000,0.011214,0.011876,0.022643,32,0.000000,0.000000,0.533112,0.947851,129.924819,17.368205,20.104622,11.844746,50.470286,0.222123,0.519341,0.140979,6.928614,2.696669,3.842885,1.620307,11,0.0
20260613_145702,2026-06-13T14:59:12,126.922,1.000000,Left,1275,100.000000,0.000000,100.000000,0.000000,0.010343,0.007003,0.019588,73,0.000000,0.000000,0.685022,0.949525,153.598841,18.997991,20.108307,28.667015,75.222716,0.219377,0.586589,0.104626,6.131034,2.068094,3.442196,1.634768,1,0.0
20260613_145702,2026-06-13T14:59:12,126.922,1.000000,Right,1269,100.000000,0.000000,100.000000,0.000000,0.006956,0.008992,0.011512,52,0.000000,0.000000,0.365663,0.946165,111.467592,17.773210,20.105659,30.846482,36.310972,0.162322,0.586589,0.104626,6.131034,2.068094,3.442196,1.634768,0,0.0
20260613_145918,2026-06-13T15:00:15,54.471,0.000000,Left,569,100.000000,0.000000,100.000000,0.000000,0.010102,0.005562,0.011096,25,0.000000,0.000000,0.403627,0.949200,117.606364,19.092025,20.110464,36.277258,76.304556,0.252117,0.430356,0.134544,8.516594,1.868382,5.277373,1.729019,0,0.0
20260613_145918,2026-06-13T15:00:15,54.471,0.000000,Right,565,100.000000,0.000000,100.000000,0.000000,0.009309,0.012811,0.011403,17,0.000000,0.000000,0.327319,0.946460,104.124224,17.861262,20.108452,30.452895,54.326132,0.243921,0.430356,0.134544,8.516594,1.868382,5.277373,1.729019,0,0.0
20260613_150135,2026-06-13T15:02:10,33.381,0.000000,Left,342,100.000000,0.000000,100.000000,0.000000,0.013329,0.010822,0.015150,16,0.000000,0.000000,0.548501,0.949979,244.414583,18.978203,20.111687,36.119365,156.791749,0.294406,0.573530,0.103045,8.362869,2.880684,4.401828,2.294755,0,0.0
20260613_150135,2026-06-13T15:02:10,33.381,0.000000,Right,341,100.000000,0.000000,100.000000,0.000000,0.006071,0.009114,0.007291,8,0.000000,0.000000,0.175441,0.900000,134.236032,17.753326,20.064127,79.241109,41.734820,0.171444,0.573530,0.103045,8.362869,2.880684,4.401828,2.294755,0,0.0
20260613_150242,2026-06-13T15:04:57,132.990,0.000000,Left,1378,100.000000,0.000000,100.000000,0.000000,0.010697,0.010214,0.011481,60,0.000000,0.000000,0.673779,0.936695,146.690911,18.890106,20.075310,29.660426,58.310104,0.183730,0.632366,0.090795,4.891919,1.441739,2.694129,1.253235,1,0.0
